locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDBAEIFD_00073	CDS	1167	hutI	3.5.2.7	COG1228	Imidazolonepropionase
JDBAEIFD_00074	CDS	1338		3.5.4.32	COG0402	8-oxoguanine deaminase
JDBAEIFD_00075	CDS	1230	amaB	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
JDBAEIFD_00076	CDS	1665	hutU	4.2.1.49	COG2987	Urocanate hydratase
JDBAEIFD_00077	CDS	1632	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
JDBAEIFD_00078	CDS	783	iclR		COG1414	Transcriptional repressor IclR
JDBAEIFD_00079	CDS	1596	sotB			sugar efflux transporter
JDBAEIFD_00080	CDS	1149	alsK_1	2.7.1.55		D-allose kinase
JDBAEIFD_00081	CDS	1719	choD	1.1.3.6	COG2303	Cholesterol oxidase
JDBAEIFD_00082	CDS	1218	lpqI	3.2.1.52	COG1472	Beta-hexosaminidase LpqI
JDBAEIFD_00083	CDS	111				hypothetical protein
JDBAEIFD_00084	CDS	360	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
JDBAEIFD_00085	CDS	1020	ascG		COG1609	HTH-type transcriptional regulator AscG
JDBAEIFD_00086	CDS	1296	dasA_1		COG1653	Diacetylchitobiose binding protein DasA
JDBAEIFD_00087	CDS	1005	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
JDBAEIFD_00088	CDS	894	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
JDBAEIFD_00089	CDS	438				hypothetical protein
JDBAEIFD_00090	CDS	1395				hypothetical protein
JDBAEIFD_00091	CDS	753	bglA	3.2.1.73		Beta-glucanase
JDBAEIFD_00092	CDS	540				hypothetical protein
JDBAEIFD_00093	CDS	312				hypothetical protein
JDBAEIFD_00094	CDS	486				hypothetical protein
JDBAEIFD_00095	CDS	1587				hypothetical protein
JDBAEIFD_00096	CDS	660			COG1136	putative ABC transporter ATP-binding protein
JDBAEIFD_00097	CDS	1206				hypothetical protein
JDBAEIFD_00098	CDS	1035				hypothetical protein
JDBAEIFD_00099	CDS	984				hypothetical protein
JDBAEIFD_00100	CDS	963				hypothetical protein
JDBAEIFD_00101	CDS	186				hypothetical protein
JDBAEIFD_00102	CDS	402				hypothetical protein
JDBAEIFD_00103	CDS	282				hypothetical protein
JDBAEIFD_00104	CDS	567				hypothetical protein
JDBAEIFD_00105	CDS	1107				hypothetical protein
JDBAEIFD_00106	CDS	639	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
JDBAEIFD_00107	CDS	1164				hypothetical protein
JDBAEIFD_00108	CDS	492				hypothetical protein
JDBAEIFD_00109	CDS	486				hypothetical protein
JDBAEIFD_00110	CDS	1848	htpG			Chaperone protein HtpG
JDBAEIFD_00111	CDS	1968				hypothetical protein
JDBAEIFD_00112	CDS	3741				hypothetical protein
JDBAEIFD_00113	CDS	642				hypothetical protein
JDBAEIFD_00114	CDS	351				hypothetical protein
JDBAEIFD_00115	CDS	495				hypothetical protein
JDBAEIFD_00116	CDS	498				hypothetical protein
JDBAEIFD_00117	CDS	840		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
JDBAEIFD_00118	CDS	591				hypothetical protein
JDBAEIFD_00119	CDS	561				hypothetical protein
JDBAEIFD_00120	CDS	621				hypothetical protein
JDBAEIFD_00121	CDS	855				hypothetical protein
JDBAEIFD_00122	CDS	435				hypothetical protein
JDBAEIFD_00123	CDS	1044				hypothetical protein
JDBAEIFD_00124	CDS	948				hypothetical protein
JDBAEIFD_00125	CDS	558				hypothetical protein
JDBAEIFD_00126	CDS	1878	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
JDBAEIFD_00127	CDS	1518				hypothetical protein
JDBAEIFD_00128	CDS	957	lacF_1			Lactose transport system permease protein LacF
JDBAEIFD_00129	CDS	951	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
JDBAEIFD_00130	CDS	1368				hypothetical protein
JDBAEIFD_00131	CDS	897	lcpA		COG1316	Cell wall biosynthesis protein LcpA
JDBAEIFD_00132	CDS	363				hypothetical protein
JDBAEIFD_00133	CDS	918	czcD			Metal cation efflux system protein CzcD
JDBAEIFD_00134	CDS	291				hypothetical protein
JDBAEIFD_00135	CDS	1554	lpqL	3.4.11.1	COG2234	putative lipoprotein aminopeptidase LpqL
JDBAEIFD_00136	CDS	393	hmrR			HTH-type transcriptional regulator HmrR
JDBAEIFD_00137	CDS	1281			COG2814	Chloramphenicol efflux pump
JDBAEIFD_00138	CDS	447				hypothetical protein
JDBAEIFD_00139	CDS	1215				hypothetical protein
JDBAEIFD_00140	CDS	183				hypothetical protein
JDBAEIFD_00141	CDS	1290				hypothetical protein
JDBAEIFD_00142	CDS	249				hypothetical protein
JDBAEIFD_00143	CDS	2277		3.2.1.-		Beta-xylosidase
JDBAEIFD_00144	CDS	414				hypothetical protein
JDBAEIFD_00145	CDS	1173				hypothetical protein
JDBAEIFD_00146	CDS	1521				hypothetical protein
JDBAEIFD_00147	CDS	819				hypothetical protein
JDBAEIFD_00148	CDS	1623	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
JDBAEIFD_00149	CDS	459				hypothetical protein
JDBAEIFD_00150	CDS	369				hypothetical protein
JDBAEIFD_00151	CDS	618				hypothetical protein
JDBAEIFD_00152	CDS	1371	entS_1			Enterobactin exporter EntS
JDBAEIFD_00153	CDS	840	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
JDBAEIFD_00154	CDS	786				hypothetical protein
JDBAEIFD_00155	CDS	432				hypothetical protein
JDBAEIFD_00156	CDS	1263				hypothetical protein
JDBAEIFD_00157	CDS	381				hypothetical protein
JDBAEIFD_00158	CDS	2829	malT_1			HTH-type transcriptional regulator MalT
JDBAEIFD_00159	CDS	1554				hypothetical protein
JDBAEIFD_00160	CDS	540				hypothetical protein
JDBAEIFD_00161	CDS	1944				hypothetical protein
JDBAEIFD_00162	CDS	450				hypothetical protein
JDBAEIFD_00163	CDS	1869				hypothetical protein
JDBAEIFD_00164	CDS	828				hypothetical protein
JDBAEIFD_00165	CDS	462				hypothetical protein
JDBAEIFD_00166	CDS	3147				hypothetical protein
JDBAEIFD_00167	CDS	159				hypothetical protein
JDBAEIFD_00168	CDS	462				hypothetical protein
JDBAEIFD_00169	CDS	450				hypothetical protein
JDBAEIFD_00170	CDS	1572				hypothetical protein
JDBAEIFD_00171	CDS	615				IS481 family transposase ISMysp6
JDBAEIFD_00172	CDS	285			COG2963	Insertion element IS6110 uncharacterized 12.0 kDa protein
JDBAEIFD_00173	CDS	882				IS3 family transposase ISBli33
JDBAEIFD_00174	CDS	771				hypothetical protein
JDBAEIFD_00175	CDS	171				hypothetical protein
JDBAEIFD_00176	CDS	465				hypothetical protein
JDBAEIFD_00177	CDS	459				hypothetical protein
JDBAEIFD_00178	CDS	576				hypothetical protein
JDBAEIFD_00179	CDS	237				hypothetical protein
JDBAEIFD_00180	CDS	693				IS481 family transposase ISMysp6
JDBAEIFD_00181	CDS	720				hypothetical protein
JDBAEIFD_00182	CDS	630				hypothetical protein
JDBAEIFD_00183	CDS	918				hypothetical protein
JDBAEIFD_00184	CDS	2061	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
JDBAEIFD_00185	CDS	681				hypothetical protein
JDBAEIFD_00186	CDS	3396	tolB			Tol-Pal system protein TolB
JDBAEIFD_00187	CDS	624	vraR			Response regulator protein VraR
JDBAEIFD_00188	CDS	1335				hypothetical protein
JDBAEIFD_00189	CDS	318				hypothetical protein
JDBAEIFD_00190	CDS	1347	mcrA_1	1.5.3.-		Mitomycin radical oxidase
JDBAEIFD_00191	CDS	2031	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
JDBAEIFD_00192	CDS	1401				hypothetical protein
JDBAEIFD_00193	CDS	951		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
JDBAEIFD_00194	CDS	1254				hypothetical protein
JDBAEIFD_00195	CDS	969	pld1	1.1.1.107		Pyridoxal 4-dehydrogenase
JDBAEIFD_00196	CDS	657				hypothetical protein
JDBAEIFD_00197	CDS	450				hypothetical protein
JDBAEIFD_00198	CDS	750				hypothetical protein
JDBAEIFD_00199	CDS	867	hldD_1	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
JDBAEIFD_00200	CDS	759	mprA		COG0745	Response regulator MprA
JDBAEIFD_00201	CDS	1542	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JDBAEIFD_00202	CDS	744				hypothetical protein
JDBAEIFD_00203	CDS	2379	ydfJ		COG2409	Membrane protein YdfJ
JDBAEIFD_00204	CDS	1266				hypothetical protein
JDBAEIFD_00205	CDS	1185	pigE	2.6.1.-		Aminotransferase PigE
JDBAEIFD_00206	CDS	1392	ndbB	1.6.5.12		Demethylphylloquinone reductase NdbB
JDBAEIFD_00207	CDS	579	yceD_1		COG2310	General stress protein 16U
JDBAEIFD_00208	CDS	1134				hypothetical protein
JDBAEIFD_00209	CDS	579	yceD_2		COG2310	General stress protein 16U
JDBAEIFD_00210	CDS	576	yceD_3		COG2310	General stress protein 16U
JDBAEIFD_00211	CDS	1221				hypothetical protein
JDBAEIFD_00212	CDS	534				hypothetical protein
JDBAEIFD_00213	CDS	570	yceD_4		COG2310	General stress protein 16U
JDBAEIFD_00214	CDS	1158				hypothetical protein
JDBAEIFD_00215	CDS	1170				hypothetical protein
JDBAEIFD_00216	CDS	2781				hypothetical protein
JDBAEIFD_00217	CDS	837				hypothetical protein
JDBAEIFD_00218	CDS	579				hypothetical protein
JDBAEIFD_00219	CDS	1065				hypothetical protein
JDBAEIFD_00220	CDS	570				hypothetical protein
JDBAEIFD_00221	CDS	150				hypothetical protein
JDBAEIFD_00222	CDS	2490				hypothetical protein
JDBAEIFD_00223	CDS	585				hypothetical protein
JDBAEIFD_00224	CDS	903				hypothetical protein
JDBAEIFD_00225	CDS	798				hypothetical protein
JDBAEIFD_00226	CDS	303				hypothetical protein
JDBAEIFD_00227	CDS	993	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBAEIFD_00228	CDS	816				hypothetical protein
JDBAEIFD_00229	CDS	2610	ctpA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
JDBAEIFD_00230	CDS	234	copZ			Copper chaperone CopZ
JDBAEIFD_00231	CDS	327	ricR		COG1937	Copper-sensing transcriptional repressor RicR
JDBAEIFD_00232	CDS	459			COG1959	Putative HTH-type transcriptional regulator
JDBAEIFD_00233	CDS	939				hypothetical protein
JDBAEIFD_00234	CDS	351				hypothetical protein
JDBAEIFD_00235	CDS	1842				hypothetical protein
JDBAEIFD_00236	CDS	1617				hypothetical protein
JDBAEIFD_00237	CDS	1359	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
JDBAEIFD_00238	CDS	999	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
JDBAEIFD_00239	CDS	975				hypothetical protein
JDBAEIFD_00240	CDS	981	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
JDBAEIFD_00241	CDS	1539	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
JDBAEIFD_00242	CDS	1008	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
JDBAEIFD_00243	CDS	1335	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
JDBAEIFD_00244	CDS	861				hypothetical protein
JDBAEIFD_00245	CDS	1470	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
JDBAEIFD_00246	CDS	276				hypothetical protein
JDBAEIFD_00247	CDS	921	oxyR			Hydrogen peroxide-inducible genes activator
JDBAEIFD_00248	CDS	957				hypothetical protein
JDBAEIFD_00249	CDS	243				hypothetical protein
JDBAEIFD_00250	CDS	1551				hypothetical protein
JDBAEIFD_00251	CDS	384				hypothetical protein
JDBAEIFD_00252	CDS	1068	pat	2.6.1.-	COG0079	Putative phenylalanine aminotransferase
JDBAEIFD_00253	CDS	501				hypothetical protein
JDBAEIFD_00254	CDS	1143	bkdA_1	1.2.4.4	COG1071	3-methyl-2-oxobutanoate dehydrogenase subunit alpha
JDBAEIFD_00255	CDS	1038	bkdB_1	1.2.4.4	COG0022	3-methyl-2-oxobutanoate dehydrogenase subunit beta
JDBAEIFD_00256	CDS	1608				hypothetical protein
JDBAEIFD_00257	CDS	453				hypothetical protein
JDBAEIFD_00258	CDS	525	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
JDBAEIFD_00259	CDS	1821	mdtD_1			Putative multidrug resistance protein MdtD
JDBAEIFD_00260	CDS	831				hypothetical protein
JDBAEIFD_00261	CDS	2232				hypothetical protein
JDBAEIFD_00262	CDS	2133				hypothetical protein
JDBAEIFD_00263	CDS	993				hypothetical protein
JDBAEIFD_00264	CDS	2163	dpp5_1	3.4.14.-	COG1506	Dipeptidyl-peptidase 5
JDBAEIFD_00265	CDS	339				hypothetical protein
JDBAEIFD_00266	CDS	720	pytH	3.1.1.88		Pyrethroid hydrolase
JDBAEIFD_00267	CDS	915				hypothetical protein
JDBAEIFD_00268	CDS	1059				hypothetical protein
JDBAEIFD_00269	CDS	216				hypothetical protein
JDBAEIFD_00270	CDS	1446				hypothetical protein
JDBAEIFD_00271	CDS	1920	resA_1			Thiol-disulfide oxidoreductase ResA
JDBAEIFD_00272	CDS	1068		1.14.99.54		Lytic cellulose monooxygenase
JDBAEIFD_00273	CDS	822				hypothetical protein
JDBAEIFD_00274	CDS	1053				hypothetical protein
JDBAEIFD_00275	CDS	1158	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
JDBAEIFD_00276	CDS	606	fabR			HTH-type transcriptional repressor FabR
JDBAEIFD_00277	CDS	2064				hypothetical protein
JDBAEIFD_00278	CDS	1281				hypothetical protein
JDBAEIFD_00279	CDS	138				hypothetical protein
JDBAEIFD_00280	CDS	393	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
JDBAEIFD_00281	CDS	375				hypothetical protein
JDBAEIFD_00282	CDS	453			COG1846	putative HTH-type transcriptional regulator
JDBAEIFD_00283	CDS	663				hypothetical protein
JDBAEIFD_00284	CDS	876		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
JDBAEIFD_00285	CDS	420	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
JDBAEIFD_00286	CDS	1524		1.2.1.69	COG1012	Fluoroacetaldehyde dehydrogenase
JDBAEIFD_00287	CDS	390				hypothetical protein
JDBAEIFD_00288	CDS	573				hypothetical protein
JDBAEIFD_00289	CDS	1095				hypothetical protein
JDBAEIFD_00290	CDS	2394	uvrA_1		COG0178	UvrABC system protein A
JDBAEIFD_00291	CDS	408				hypothetical protein
JDBAEIFD_00292	CDS	471	rhaR_1			HTH-type transcriptional activator RhaR
JDBAEIFD_00293	CDS	915			COG1305	putative protein
JDBAEIFD_00294	CDS	2610			COG2307	putative protein
JDBAEIFD_00295	CDS	1965		3.2.1.28	COG3387	Trehalase
JDBAEIFD_00296	CDS	1386		4.1.1.105	COG0076	Tryptophan decarboxylase
JDBAEIFD_00297	CDS	1797	caeB_1	3.1.1.-		Carboxylesterase B
JDBAEIFD_00298	CDS	369				hypothetical protein
JDBAEIFD_00299	CDS	348				hypothetical protein
JDBAEIFD_00300	CDS	543				hypothetical protein
JDBAEIFD_00301	CDS	897				hypothetical protein
JDBAEIFD_00302	CDS	1104	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
JDBAEIFD_00303	CDS	798				hypothetical protein
JDBAEIFD_00304	CDS	900				hypothetical protein
JDBAEIFD_00305	CDS	783				hypothetical protein
JDBAEIFD_00306	CDS	771				hypothetical protein
JDBAEIFD_00307	CDS	939	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBAEIFD_00308	CDS	771				hypothetical protein
JDBAEIFD_00309	CDS	870				hypothetical protein
JDBAEIFD_00310	CDS	1296	metZ_1	2.5.1.-		O-succinylhomoserine sulfhydrylase
JDBAEIFD_00311	CDS	1218				hypothetical protein
JDBAEIFD_00312	CDS	1011	cbs_1	4.2.1.22	COG0031	Putative cystathionine beta-synthase
JDBAEIFD_00313	CDS	651	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
JDBAEIFD_00314	CDS	774				hypothetical protein
JDBAEIFD_00315	tRNA	73				tRNA-Gly(ccc)
JDBAEIFD_00316	CDS	603		2.3.-.-	COG0454	Putative acetyltransferase OgpAT
JDBAEIFD_00317	CDS	4347				hypothetical protein
JDBAEIFD_00318	CDS	1002	galM	5.1.3.3	COG2017	Aldose 1-epimerase
JDBAEIFD_00319	CDS	2469	cbpA	2.4.1.20	COG3459	Cellobiose phosphorylase
JDBAEIFD_00320	CDS	633	dcd	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
JDBAEIFD_00321	CDS	1146				hypothetical protein
JDBAEIFD_00322	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
JDBAEIFD_00323	CDS	1941			COG1132	putative ABC transporter ATP-binding protein
JDBAEIFD_00324	CDS	498				hypothetical protein
JDBAEIFD_00325	CDS	1398	dap_1	3.4.11.19		D-aminopeptidase
JDBAEIFD_00326	CDS	798	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
JDBAEIFD_00327	CDS	2241	lutA			Lactate utilization protein A
JDBAEIFD_00328	CDS	3024	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JDBAEIFD_00329	CDS	504				hypothetical protein
JDBAEIFD_00330	CDS	1575	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
JDBAEIFD_00331	CDS	546	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
JDBAEIFD_00332	CDS	390				hypothetical protein
JDBAEIFD_00333	CDS	438				hypothetical protein
JDBAEIFD_00334	CDS	1503	thi4	2.4.2.59		Thiamine thiazole synthase
JDBAEIFD_00335	CDS	276				hypothetical protein
JDBAEIFD_00336	CDS	1086	thiB		COG4143	Thiamine-binding periplasmic protein
JDBAEIFD_00337	CDS	1701				hypothetical protein
JDBAEIFD_00338	CDS	1071	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JDBAEIFD_00339	CDS	771				hypothetical protein
JDBAEIFD_00340	CDS	1095				hypothetical protein
JDBAEIFD_00341	CDS	618				hypothetical protein
JDBAEIFD_00342	CDS	1260	mntH		COG1914	Divalent metal cation transporter MntH
JDBAEIFD_00343	CDS	939				hypothetical protein
JDBAEIFD_00344	CDS	1296				hypothetical protein
JDBAEIFD_00345	CDS	489				hypothetical protein
JDBAEIFD_00346	CDS	357				hypothetical protein
JDBAEIFD_00347	CDS	2214				hypothetical protein
JDBAEIFD_00348	CDS	675				hypothetical protein
JDBAEIFD_00349	CDS	942				hypothetical protein
JDBAEIFD_00350	CDS	450				hypothetical protein
JDBAEIFD_00351	CDS	1131	aroE_1	1.1.1.25		Shikimate dehydrogenase (NADP(+))
JDBAEIFD_00352	CDS	1314				hypothetical protein
JDBAEIFD_00353	CDS	1257	entS_2			Enterobactin exporter EntS
JDBAEIFD_00354	CDS	741				hypothetical protein
JDBAEIFD_00355	CDS	225				hypothetical protein
JDBAEIFD_00356	CDS	453				hypothetical protein
JDBAEIFD_00357	CDS	372				hypothetical protein
JDBAEIFD_00358	CDS	225				hypothetical protein
JDBAEIFD_00359	CDS	765				hypothetical protein
JDBAEIFD_00360	CDS	1920	prlC	3.4.24.70	COG0339	Oligopeptidase A
JDBAEIFD_00361	CDS	783				hypothetical protein
JDBAEIFD_00362	CDS	483				hypothetical protein
JDBAEIFD_00363	CDS	828				hypothetical protein
JDBAEIFD_00364	CDS	588				hypothetical protein
JDBAEIFD_00365	CDS	1458				hypothetical protein
JDBAEIFD_00366	CDS	2595				hypothetical protein
JDBAEIFD_00367	CDS	750				hypothetical protein
JDBAEIFD_00368	CDS	366	kmtR		COG0640	HTH-type transcriptional regulator KmtR
JDBAEIFD_00369	CDS	1260				hypothetical protein
JDBAEIFD_00370	CDS	165				hypothetical protein
JDBAEIFD_00371	CDS	864		3.1.1.101		Poly(ethylene terephthalate) hydrolase
JDBAEIFD_00372	CDS	1362	entS_3			Enterobactin exporter EntS
JDBAEIFD_00373	CDS	603				hypothetical protein
JDBAEIFD_00374	CDS	252				hypothetical protein
JDBAEIFD_00375	CDS	498				hypothetical protein
JDBAEIFD_00376	CDS	1938	xynD			Bifunctional xylanase/deacetylase
JDBAEIFD_00377	CDS	522				hypothetical protein
JDBAEIFD_00378	CDS	1704				hypothetical protein
JDBAEIFD_00379	CDS	1074		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
JDBAEIFD_00380	CDS	837	egtC	3.5.1.118	COG0121	Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
JDBAEIFD_00381	CDS	606		1.6.5.7		2-hydroxy-1,4-benzoquinone reductase
JDBAEIFD_00382	CDS	636				hypothetical protein
JDBAEIFD_00383	CDS	231				hypothetical protein
JDBAEIFD_00384	CDS	765				hypothetical protein
JDBAEIFD_00385	CDS	261				hypothetical protein
JDBAEIFD_00386	CDS	2265	cstA		COG1966	Peptide transporter CstA
JDBAEIFD_00387	CDS	327				hypothetical protein
JDBAEIFD_00388	CDS	603	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
JDBAEIFD_00389	CDS	594	rcdA		COG3226	HTH-type transcriptional regulator RcdA
JDBAEIFD_00390	CDS	630				hypothetical protein
JDBAEIFD_00391	CDS	675				hypothetical protein
JDBAEIFD_00392	CDS	798				hypothetical protein
JDBAEIFD_00393	CDS	603				hypothetical protein
JDBAEIFD_00394	CDS	1068				hypothetical protein
JDBAEIFD_00395	CDS	684				hypothetical protein
JDBAEIFD_00396	CDS	471				hypothetical protein
JDBAEIFD_00397	CDS	642				hypothetical protein
JDBAEIFD_00398	CDS	435				hypothetical protein
JDBAEIFD_00399	CDS	1272				hypothetical protein
JDBAEIFD_00400	CDS	369				hypothetical protein
JDBAEIFD_00401	CDS	969				hypothetical protein
JDBAEIFD_00402	CDS	870	rhaR_2			HTH-type transcriptional activator RhaR
JDBAEIFD_00403	CDS	924	hhoB			Putative serine protease HhoB
JDBAEIFD_00404	CDS	1212				hypothetical protein
JDBAEIFD_00405	CDS	1302				hypothetical protein
JDBAEIFD_00406	CDS	792				hypothetical protein
JDBAEIFD_00407	CDS	579				hypothetical protein
JDBAEIFD_00408	CDS	642				hypothetical protein
JDBAEIFD_00409	CDS	465				hypothetical protein
