locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJECMPOM_00179	CDS	1116				hypothetical protein
JJECMPOM_00180	CDS	693	dinG_1	3.1.-.-		3'-5' exonuclease DinG
JJECMPOM_00181	CDS	390				hypothetical protein
JJECMPOM_00182	CDS	981				hypothetical protein
JJECMPOM_00183	CDS	513	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
JJECMPOM_00184	CDS	1695	era_1			GTPase Era
JJECMPOM_00185	CDS	1704	era_2			GTPase Era
JJECMPOM_00186	CDS	243				hypothetical protein
JJECMPOM_00187	CDS	363				hypothetical protein
JJECMPOM_00188	CDS	1347	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
JJECMPOM_00189	CDS	726		3.-.-.-		putative protein
JJECMPOM_00190	CDS	1299				putative protein
JJECMPOM_00191	CDS	2292	relA		COG0317	Bifunctional (p)ppGpp synthase/hydrolase RelA
JJECMPOM_00192	CDS	537	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
JJECMPOM_00193	CDS	1104	secF		COG0341	Protein translocase subunit SecF
JJECMPOM_00194	CDS	1935	secD		COG0342	Protein translocase subunit SecD
JJECMPOM_00195	CDS	399				hypothetical protein
JJECMPOM_00196	CDS	1071	ruvB_1	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
JJECMPOM_00197	CDS	594	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
JJECMPOM_00198	CDS	630	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
JJECMPOM_00199	CDS	594	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
JJECMPOM_00200	CDS	903	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
JJECMPOM_00201	CDS	762			COG0217	putative transcriptional regulatory protein/MSMEI_2866
JJECMPOM_00202	CDS	516		3.1.3.-	COG2062	putative protein
JJECMPOM_00203	CDS	243				hypothetical protein
JJECMPOM_00204	CDS	528				hypothetical protein
JJECMPOM_00205	CDS	708	btrP	3.1.3.88		5''-phosphoribostamycin phosphatase
JJECMPOM_00206	CDS	3072				hypothetical protein
JJECMPOM_00207	CDS	3081	glnE	2.7.7.42		Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
JJECMPOM_00208	CDS	1335	glnA2	6.3.1.2	COG0174	Glutamine synthetase
JJECMPOM_00209	CDS	900			COG0330	putative protein
JJECMPOM_00210	CDS	477				hypothetical protein
JJECMPOM_00211	CDS	792	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
JJECMPOM_00212	CDS	1224	glgM	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
JJECMPOM_00213	CDS	1245	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
JJECMPOM_00214	CDS	876				hypothetical protein
JJECMPOM_00215	CDS	543	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
JJECMPOM_00216	CDS	1176				hypothetical protein
JJECMPOM_00217	CDS	603		2.7.7.53	COG0537	AP-4-A phosphorylase
JJECMPOM_00218	CDS	2010	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
JJECMPOM_00219	CDS	1047				hypothetical protein
JJECMPOM_00220	CDS	1251		6.3.1.12		D-aspartate ligase
JJECMPOM_00221	tRNA	75				tRNA-Val(cac)
JJECMPOM_00222	tRNA	72				tRNA-Cys(gca)
JJECMPOM_00223	tRNA	74				tRNA-Gly(gcc)
JJECMPOM_00224	tRNA	73				tRNA-Val(gac)
JJECMPOM_00225	tRNA	74				tRNA-Gly(gcc)
JJECMPOM_00226	CDS	174				hypothetical protein
JJECMPOM_00227	CDS	552				hypothetical protein
JJECMPOM_00228	CDS	1245	rnd	3.1.13.5		Ribonuclease D
JJECMPOM_00229	CDS	1977	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
JJECMPOM_00230	CDS	1998				hypothetical protein
JJECMPOM_00231	CDS	4608				hypothetical protein
JJECMPOM_00232	CDS	2685	acnA	4.2.1.3	COG1048	Aconitate hydratase A
JJECMPOM_00233	CDS	549				hypothetical protein
JJECMPOM_00234	CDS	1413	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
JJECMPOM_00235	CDS	2043	kimA		COG0531	Potassium transporter KimA
JJECMPOM_00236	CDS	672	trkA_1		COG0569	Trk system potassium uptake protein TrkA
JJECMPOM_00237	CDS	699	trkA_2		COG0569	Trk system potassium uptake protein TrkA
JJECMPOM_00238	CDS	672				hypothetical protein
JJECMPOM_00239	CDS	396				hypothetical protein
JJECMPOM_00240	CDS	591				hypothetical protein
JJECMPOM_00241	CDS	303				hypothetical protein
JJECMPOM_00242	CDS	1149				hypothetical protein
JJECMPOM_00243	CDS	1119				hypothetical protein
JJECMPOM_00244	CDS	540				hypothetical protein
JJECMPOM_00245	CDS	2556	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
JJECMPOM_00246	CDS	1053				hypothetical protein
JJECMPOM_00247	CDS	1029	mshD_1	2.3.1.189		Mycothiol acetyltransferase
JJECMPOM_00248	CDS	2043	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
JJECMPOM_00249	CDS	219				hypothetical protein
JJECMPOM_00250	CDS	450				hypothetical protein
JJECMPOM_00251	CDS	474				hypothetical protein
JJECMPOM_00252	CDS	1647	rpoD			RNA polymerase sigma factor RpoD
JJECMPOM_00253	CDS	423				Universal stress protein
JJECMPOM_00254	CDS	1098				hypothetical protein
JJECMPOM_00255	CDS	393				hypothetical protein
JJECMPOM_00256	CDS	2136	spk1	2.7.11.1		Serine/threonine-protein kinase PK-1
JJECMPOM_00257	CDS	1419	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
JJECMPOM_00258	CDS	1302	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
JJECMPOM_00259	CDS	828				hypothetical protein
JJECMPOM_00260	CDS	2715				hypothetical protein
JJECMPOM_00261	CDS	2793				hypothetical protein
JJECMPOM_00262	CDS	1842	htpG			Chaperone protein HtpG
JJECMPOM_00263	CDS	474				hypothetical protein
JJECMPOM_00264	CDS	441				hypothetical protein
JJECMPOM_00265	CDS	2781				hypothetical protein
JJECMPOM_00266	CDS	2466				hypothetical protein
JJECMPOM_00267	CDS	387			COG0784	putative response regulatory protein
JJECMPOM_00268	CDS	945				hypothetical protein
JJECMPOM_00269	CDS	354				Protein
JJECMPOM_00270	CDS	1047				hypothetical protein
JJECMPOM_00271	CDS	1365	argE	3.5.1.16		Acetylornithine deacetylase
JJECMPOM_00272	CDS	492				hypothetical protein
JJECMPOM_00273	CDS	621				putative protein
JJECMPOM_00274	CDS	1059	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
JJECMPOM_00275	CDS	534				hypothetical protein
JJECMPOM_00276	CDS	852	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
JJECMPOM_00277	CDS	159				hypothetical protein
JJECMPOM_00278	CDS	1536				hypothetical protein
JJECMPOM_00279	CDS	708	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
JJECMPOM_00280	CDS	870	mntB_1			Manganese transport system membrane protein MntB
JJECMPOM_00281	CDS	816	mntB_2		COG1121	Manganese transport system ATP-binding protein MntB
JJECMPOM_00282	CDS	993				hypothetical protein
JJECMPOM_00283	CDS	1632				hypothetical protein
JJECMPOM_00284	CDS	4524				hypothetical protein
JJECMPOM_00285	CDS	825		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
JJECMPOM_00286	CDS	1032	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JJECMPOM_00287	CDS	300				hypothetical protein
JJECMPOM_00288	CDS	1266	entS_1			Enterobactin exporter EntS
JJECMPOM_00289	CDS	1404	alsT_1		COG1115	Amino-acid carrier protein AlsT
JJECMPOM_00290	CDS	2367	malP	2.4.1.1	COG0058	Maltodextrin phosphorylase
JJECMPOM_00291	CDS	6579	smc_2			Chromosome partition protein Smc
JJECMPOM_00292	CDS	1371	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
JJECMPOM_00293	CDS	411				hypothetical protein
JJECMPOM_00294	CDS	669				hypothetical protein
JJECMPOM_00295	CDS	321				hypothetical protein
JJECMPOM_00296	CDS	630				hypothetical protein
JJECMPOM_00297	CDS	843	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JJECMPOM_00298	CDS	378	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
JJECMPOM_00299	CDS	102				hypothetical protein
JJECMPOM_00300	CDS	741	egtB	1.14.99.50		Hercynine oxygenase
JJECMPOM_00301	tRNA	76				tRNA-Ala(ggc)
JJECMPOM_00302	CDS	396	rsfS			Ribosomal silencing factor RsfS
JJECMPOM_00303	CDS	600	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
JJECMPOM_00304	CDS	1392	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
JJECMPOM_00305	CDS	1116	proB	2.7.2.11	COG0263	Glutamate 5-kinase
JJECMPOM_00306	CDS	1521	obg	3.6.5.-	COG0536	GTPase Obg
JJECMPOM_00307	CDS	261	rpmA		COG0211	50S ribosomal protein L27
JJECMPOM_00308	CDS	309	rplU		COG0261	50S ribosomal protein L21
JJECMPOM_00309	CDS	2670	rne	3.1.26.12		Ribonuclease E
JJECMPOM_00310	CDS	1548	cydA	1.10.3.-	COG1271	Cytochrome bd ubiquinol oxidase subunit 1
JJECMPOM_00311	CDS	1128	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
JJECMPOM_00312	CDS	1767	cydD		COG4988	ATP-binding/permease protein CydD
JJECMPOM_00313	CDS	1764			COG1132	putative ABC transporter ATP-binding protein
JJECMPOM_00314	CDS	1647	devS	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DevS/DosS
JJECMPOM_00315	CDS	207				hypothetical protein
JJECMPOM_00316	CDS	633	devR		COG2197	DNA-binding transcriptional activator DevR/DosR
JJECMPOM_00317	CDS	744	rnc	3.1.26.3	COG0571	Ribonuclease 3
JJECMPOM_00318	CDS	606			COG1399	putative protein
JJECMPOM_00319	CDS	735			COG3599	putative protein
JJECMPOM_00320	CDS	513	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
JJECMPOM_00321	CDS	639	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
JJECMPOM_00322	CDS	2319	recG	3.6.4.12		ATP-dependent DNA helicase RecG
JJECMPOM_00323	CDS	1632				hypothetical protein
JJECMPOM_00324	CDS	192	rpmB_1		COG0227	50S ribosomal protein L28
JJECMPOM_00325	CDS	1362	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
JJECMPOM_00326	CDS	975			COG1090	Epimerase family protein
JJECMPOM_00327	CDS	987	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
JJECMPOM_00328	CDS	456				hypothetical protein
JJECMPOM_00329	CDS	600				hypothetical protein
JJECMPOM_00330	CDS	897	aviRb	2.1.1.208		23S rRNA (uridine(2479)-2'-O)-methyltransferase
JJECMPOM_00331	CDS	384	rplT		COG0292	50S ribosomal protein L20
JJECMPOM_00332	CDS	195	rpmI		COG0291	50S ribosomal protein L35
JJECMPOM_00333	CDS	714	infC			Translation initiation factor IF-3
JJECMPOM_00334	CDS	756				hypothetical protein
JJECMPOM_00335	CDS	720	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
JJECMPOM_00336	CDS	609				hypothetical protein
JJECMPOM_00337	CDS	978				hypothetical protein
JJECMPOM_00338	CDS	234				hypothetical protein
JJECMPOM_00339	CDS	747				hypothetical protein
JJECMPOM_00340	CDS	978				hypothetical protein
JJECMPOM_00341	CDS	1002	lacF_2			Lactose transport system permease protein LacF
JJECMPOM_00342	CDS	1299				hypothetical protein
JJECMPOM_00343	CDS	1266				hypothetical protein
JJECMPOM_00344	CDS	3165				hypothetical protein
JJECMPOM_00345	CDS	1011	rbsR		COG1609	Ribose operon repressor
JJECMPOM_00346	CDS	1224	yihS_1	5.3.1.31	COG2942	Sulfoquinovose isomerase
JJECMPOM_00347	CDS	216				hypothetical protein
JJECMPOM_00348	CDS	345				hypothetical protein
JJECMPOM_00349	CDS	789				hypothetical protein
JJECMPOM_00350	CDS	687	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JJECMPOM_00351	CDS	1056				hypothetical protein
JJECMPOM_00352	CDS	780	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
JJECMPOM_00353	CDS	228				hypothetical protein
JJECMPOM_00354	CDS	165				hypothetical protein
JJECMPOM_00355	CDS	525				hypothetical protein
JJECMPOM_00356	CDS	1215				hypothetical protein
JJECMPOM_00357	CDS	687	nanE	5.1.3.9		Putative N-acetylmannosamine-6-phosphate 2-epimerase
JJECMPOM_00358	CDS	885	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
JJECMPOM_00359	CDS	924	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JJECMPOM_00360	CDS	801	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
JJECMPOM_00361	CDS	2055	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JJECMPOM_00362	CDS	948	gsiC		COG0601	Glutathione transport system permease protein GsiC
JJECMPOM_00363	CDS	1593	sgrR			HTH-type transcriptional regulator SgrR
