# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	21161	21952	+							EJO50_RS00130	792		old_locus_tag=EJO50_00130
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	21161	21952	+	WP_164521383.1	WP_164521383.1		hypothetical protein			EJO50_RS00130	792	263	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	21966	24008	+					gspD		EJO50_RS00135	2043		old_locus_tag=EJO50_00135
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	21966	24008	+	WP_125971006.1	WP_125971006.1		type II secretion system secretin GspD	gspD		EJO50_RS00135	2043	680	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	24005	25462	+					gspE		EJO50_RS00140	1458		old_locus_tag=EJO50_00140
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	24005	25462	+	WP_125971007.1	WP_125971007.1		type II secretion system ATPase GspE	gspE		EJO50_RS00140	1458	485	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	25548	25766	-							EJO50_RS00145	219		old_locus_tag=EJO50_00145
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	25548	25766	-	WP_125971008.1	WP_125971008.1		hypothetical protein			EJO50_RS00145	219	72	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	25868	26185	+							EJO50_RS00150	318		old_locus_tag=EJO50_00150
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	25868	26185	+	WP_125971009.1	WP_125971009.1		PilZ domain-containing protein			EJO50_RS00150	318	105	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	26188	26730	+							EJO50_RS00155	543		old_locus_tag=EJO50_00155
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	26188	26730	+	WP_125971010.1	WP_125971010.1		hypothetical protein			EJO50_RS00155	543	180	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	26743	27654	+							EJO50_RS00160	912		old_locus_tag=EJO50_00160
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	26743	27654	+	WP_125971011.1	WP_125971011.1		4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase			EJO50_RS00160	912	303	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	27765	28910	-							EJO50_RS00165	1146		old_locus_tag=EJO50_00165
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	27765	28910	-	WP_206434422.1	WP_206434422.1		class C beta-lactamase			EJO50_RS00165	1146	381	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	29285	30532	+							EJO50_RS00170	1248		old_locus_tag=EJO50_00170
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	29285	30532	+	WP_125971013.1	WP_125971013.1		methyl-accepting chemotaxis protein			EJO50_RS00170	1248	415	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	30662	31645	+							EJO50_RS00175	984		old_locus_tag=EJO50_00175
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	30662	31645	+	WP_125971014.1	WP_125971014.1		IS110 family transposase			EJO50_RS00175	984	327	
gene	pseudogene	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	31661	32128	+							EJO50_RS00180	468		partial;pseudo;old_locus_tag=EJO50_00180
CDS	without_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	31661	32128	+				methyl-accepting chemotaxis protein			EJO50_RS00180	468		partial;pseudo
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	32188	33231	-					mnmH		EJO50_RS00185	1044		old_locus_tag=EJO50_00185
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	32188	33231	-	WP_125971016.1	WP_125971016.1		tRNA 2-selenouridine(34) synthase MnmH	mnmH		EJO50_RS00185	1044	347	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	33386	34423	+					selD		EJO50_RS00190	1038		old_locus_tag=EJO50_00190
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	33386	34423	+	WP_233702125.1	WP_233702125.1		selenide, water dikinase SelD	selD		EJO50_RS00190	1038	345	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	35056	37698	+							EJO50_RS00195	2643		old_locus_tag=EJO50_00195
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	35056	37698	+	WP_164521384.1	WP_164521384.1		carbohydate-binding domain-containing protein			EJO50_RS00195	2643	880	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	37901	39217	+							EJO50_RS00200	1317		old_locus_tag=EJO50_00200
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	37901	39217	+	WP_233702126.1	WP_233702126.1		NAD(P)/FAD-dependent oxidoreductase			EJO50_RS00200	1317	438	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	39419	40204	+							EJO50_RS00205	786		old_locus_tag=EJO50_00205
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	39419	40204	+	WP_125971020.1	WP_125971020.1		ferritin-like domain-containing protein			EJO50_RS00205	786	261	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	40201	40641	-							EJO50_RS00210	441		old_locus_tag=EJO50_00210
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	40201	40641	-	WP_125971021.1	WP_125971021.1		hypothetical protein			EJO50_RS00210	441	146	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	40793	42367	-							EJO50_RS00215	1575		old_locus_tag=EJO50_00215
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	40793	42367	-	WP_125971022.1	WP_125971022.1		ABC transporter substrate-binding protein			EJO50_RS00215	1575	524	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	43216	43827	+							EJO50_RS00220	612		old_locus_tag=EJO50_00220
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	43216	43827	+	WP_125971023.1	WP_125971023.1		heme-binding beta-barrel domain-containing protein			EJO50_RS00220	612	203	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	44231	44392	+							EJO50_RS17075	162		
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	44231	44392	+	WP_164521385.1	WP_164521385.1		hypothetical protein			EJO50_RS17075	162	53	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	45294	46922	+							EJO50_RS00225	1629		old_locus_tag=EJO50_00225
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	45294	46922	+	WP_125971024.1	WP_125971024.1		methyl-accepting chemotaxis protein			EJO50_RS00225	1629	542	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	47808	48281	+							EJO50_RS00230	474		old_locus_tag=EJO50_00230
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	47808	48281	+	WP_125971025.1	WP_125971025.1		copper chaperone PCu(A)C			EJO50_RS00230	474	157	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	48816	50195	+							EJO50_RS00235	1380		old_locus_tag=EJO50_00235
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	48816	50195	+	WP_125971026.1	WP_125971026.1		peptide MFS transporter			EJO50_RS00235	1380	459	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	50540	51352	+					murI		EJO50_RS00240	813		old_locus_tag=EJO50_00240
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	50540	51352	+	WP_125971027.1	WP_125971027.1		glutamate racemase	murI		EJO50_RS00240	813	270	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	51654	52781	-							EJO50_RS00245	1128		old_locus_tag=EJO50_00245
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	51654	52781	-	WP_125971028.1	WP_125971028.1		patatin-like phospholipase family protein			EJO50_RS00245	1128	375	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	53050	54834	-					recQ		EJO50_RS00250	1785		old_locus_tag=EJO50_00250
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	53050	54834	-	WP_125971029.1	WP_125971029.1		DNA helicase RecQ	recQ		EJO50_RS00250	1785	594	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	55173	55886	-							EJO50_RS00255	714		old_locus_tag=EJO50_00255
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	55173	55886	-	WP_125971030.1	WP_125971030.1		hypothetical protein			EJO50_RS00255	714	237	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	56148	56684	-							EJO50_RS00260	537		old_locus_tag=EJO50_00260
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	56148	56684	-	WP_125971031.1	WP_125971031.1		cysteine hydrolase			EJO50_RS00260	537	178	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	56928	58294	+							EJO50_RS00265	1367		old_locus_tag=EJO50_00265
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	56928	58294	+	WP_125971032.1	WP_125971032.1		IS3 family transposase			EJO50_RS00265	1365	454	ribosomal_slippage
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	58373	59833	-							EJO50_RS00270	1461		old_locus_tag=EJO50_00270
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	58373	59833	-	WP_125971033.1	WP_125971033.1		catalase			EJO50_RS00270	1461	486	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	60611	63331	+							EJO50_RS00275	2721		old_locus_tag=EJO50_00275
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	60611	63331	+	WP_125971034.1	WP_125971034.1		ImpA family metalloprotease			EJO50_RS00275	2721	906	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	63349	63672	-							EJO50_RS00280	324		old_locus_tag=EJO50_00280
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	63349	63672	-	WP_125971035.1	WP_125971035.1		hypothetical protein			EJO50_RS00280	324	107	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	63711	64019	-							EJO50_RS00285	309		old_locus_tag=EJO50_00285
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	63711	64019	-	WP_164521386.1	WP_164521386.1		antibiotic biosynthesis monooxygenase			EJO50_RS00285	309	102	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	64146	64832	-							EJO50_RS00290	687		old_locus_tag=EJO50_00290
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	64146	64832	-	WP_125971037.1	WP_125971037.1		type 1 glutamine amidotransferase domain-containing protein			EJO50_RS00290	687	228	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	65018	65929	+							EJO50_RS00295	912		old_locus_tag=EJO50_00295
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	65018	65929	+	WP_125971038.1	WP_125971038.1		AraC family transcriptional regulator			EJO50_RS00295	912	303	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	66352	67962	+							EJO50_RS00300	1611		old_locus_tag=EJO50_00300
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	66352	67962	+	WP_125971039.1	WP_125971039.1		NAD(P)/FAD-dependent oxidoreductase			EJO50_RS00300	1611	536	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	68181	69449	+					glgC		EJO50_RS00305	1269		old_locus_tag=EJO50_00305
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	68181	69449	+	WP_125971040.1	WP_125971040.1		glucose-1-phosphate adenylyltransferase	glgC		EJO50_RS00305	1269	422	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	69741	71177	+					glgA		EJO50_RS00310	1437		old_locus_tag=EJO50_00310
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	69741	71177	+	WP_125971041.1	WP_125971041.1		glycogen synthase GlgA	glgA		EJO50_RS00310	1437	478	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	71538	73985	+							EJO50_RS00315	2448		old_locus_tag=EJO50_00315
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	71538	73985	+	WP_125971042.1	WP_125971042.1		glycogen/starch/alpha-glucan phosphorylase			EJO50_RS00315	2448	815	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	74210	74758	+							EJO50_RS00320	549		old_locus_tag=EJO50_00320
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	74210	74758	+	WP_125971043.1	WP_125971043.1		NUDIX hydrolase			EJO50_RS00320	549	182	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	74795	75475	-							EJO50_RS00325	681		old_locus_tag=EJO50_00325
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	74795	75475	-	WP_125971044.1	WP_125971044.1		hypothetical protein			EJO50_RS00325	681	226	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	75679	77028	-							EJO50_RS00335	1350		old_locus_tag=EJO50_00335
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	75679	77028	-	WP_125971045.1	WP_125971045.1		hypothetical protein			EJO50_RS00335	1350	449	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77078	77497	-							EJO50_RS00340	420		old_locus_tag=EJO50_00340
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77078	77497	-	WP_125971046.1	WP_125971046.1		DUF86 domain-containing protein			EJO50_RS00340	420	139	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77487	77900	-							EJO50_RS00345	414		old_locus_tag=EJO50_00345
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77487	77900	-	WP_125971047.1	WP_125971047.1		nucleotidyltransferase domain-containing protein			EJO50_RS00345	414	137	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77920	78792	-					ubiA		EJO50_RS00350	873		old_locus_tag=EJO50_00350
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	77920	78792	-	WP_125971048.1	WP_125971048.1		4-hydroxybenzoate octaprenyltransferase	ubiA		EJO50_RS00350	873	290	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	78892	79431	-							EJO50_RS00355	540		old_locus_tag=EJO50_00355
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	78892	79431	-	WP_125971049.1	WP_125971049.1		chorismate lyase			EJO50_RS00355	540	179	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	79555	80091	+							EJO50_RS00360	537		old_locus_tag=EJO50_00360
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	79555	80091	+	WP_125971050.1	WP_125971050.1		hypothetical protein			EJO50_RS00360	537	178	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	80336	80824	+							EJO50_RS00365	489		old_locus_tag=EJO50_00365
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	80336	80824	+	WP_233702127.1	WP_233702127.1		GNAT family N-acetyltransferase			EJO50_RS00365	489	162	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	81019	82236	-							EJO50_RS00370	1218		old_locus_tag=EJO50_00370
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	81019	82236	-	WP_125971052.1	WP_125971052.1		HAMP domain-containing histidine kinase			EJO50_RS00370	1218	405	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	82734	83420	-							EJO50_RS00375	687		old_locus_tag=EJO50_00375
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	82734	83420	-	WP_125971053.1	WP_125971053.1		response regulator transcription factor			EJO50_RS00375	687	228	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	83508	84011	-							EJO50_RS00380	504		old_locus_tag=EJO50_00380
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	83508	84011	-	WP_125971054.1	WP_125971054.1		Spy/CpxP family protein refolding chaperone			EJO50_RS00380	504	167	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	84217	84597	+							EJO50_RS00385	381		old_locus_tag=EJO50_00385
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	84217	84597	+	WP_125971055.1	WP_125971055.1		Rid family detoxifying hydrolase			EJO50_RS00385	381	126	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	85140	87920	+							EJO50_RS00390	2781		old_locus_tag=EJO50_00390
CDS	with_protein	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	85140	87920	+	WP_125971056.1	WP_125971056.1		insulinase family protein			EJO50_RS00390	2781	926	
gene	protein_coding	GCF_003952345.1	Primary Assembly	chromosome		NZ_CP034433.1	87978	90431	-							EJO50_RS00395	2454		old_locus_tag=EJO50_00395
